Target Name	Accession	Description	Occurrences
3Beta_HSD	PF01073.25	3-beta hydroxysteroid dehydrogenase/isomerase family	30
Polysacc_synt_2	PF02719.21	Polysaccharide biosynthesis protein	21
NAD_binding_4	PF07993.18	Male sterility protein	38
NAD_binding_10	PF13460.12	NAD(P)H-binding	46
Fer4_7	PF12838.12	4Fe-4S dicluster domain	52
Fer4	PF00037.32	4Fe-4S binding domain	59
Fer4_6	PF12837.12	4Fe-4S binding domain	54
Fer4_10	PF13237.11	4Fe-4S dicluster domain	51
Fer4_21	PF14697.11	4Fe-4S dicluster domain	43
Fer4_9	PF13187.11	4Fe-4S dicluster domain	43
Fer4_2	PF12797.12	4Fe-4S binding domain	49
Fer4_16	PF13484.11	4Fe-4S double cluster binding domain	38
Fer4_4	PF12800.12	4Fe-4S binding domain	25
Fer4_8	PF13183.11	4Fe-4S dicluster domain	32
Fer4_17	PF13534.11	4Fe-4S dicluster domain	20
Acetyltransf_7	PF13508.13	Acetyltransferase (GNAT) domain	82
Acetyltransf_10	PF13673.13	Acetyltransferase (GNAT) domain	70
SPOUT_MTase	PF02590.22	Predicted SPOUT methyltransferase	9
Phage_portal	PF04860.17	Phage portal protein	6
CN_hydrolase	PF00795.27	Carbon-nitrogen hydrolase	14
RlaP	PF10127.15	RNA repair pathway DNA polymerase beta family	7
PhageMin_Tail	PF10145.14	Phage-related minor tail protein	3
HsdM_N	PF12161.13	HsdM N-terminal domain	73
RES	PF08808.17	RES domain	28
DUF4420	PF14390.12	Putative PD-(D/E)XK family member, (DUF4420)	6
Orn_Arg_deC_N	PF02784.22	Pyridoxal-dependent decarboxylase, pyridoxal binding domain	2
Orn_DAP_Arg_deC	PF00278.28	Pyridoxal-dependent decarboxylase, C-terminal sheet domain	2
Ala_racemase_N	PF01168.26	Alanine racemase, N-terminal domain	7
Peptidase_S24	PF00717.28	Peptidase S24-like	33
MvaT_DBD	PF22055.1	Bacterial xenogeneic silencer MvaT, C-terminal domain	13
DUF1403	PF07183.16	Protein of unknown function (DUF1403)	12
BrxC_BrxD	PF10923.14	BREX system ATP-binding protein BrxC/D	5
TPR_8	PF13181.12	Tetratricopeptide repeat	54
Glyco_hydro_120_ins	PF21258.2	Glycoside hydrolase 120, insertion domain	2
DUF1565	PF07602.17	Protein of unknown function (DUF1565)	1
Beta_helix	PF13229.12	Right handed beta helix region	2
NosD	PF05048.19	Periplasmic copper-binding protein (NosD)	2
Abhydrolase_4	PF08386.16	TAP-like protein	6
HTH_36	PF13730.12	Helix-turn-helix domain	33
HTH_Crp_2	PF13545.12	Crp-like helix-turn-helix domain	35
Glutaredoxin	PF00462.30	Glutaredoxin	4
Thioredoxin_3	PF13192.12	Thioredoxin domain	9
HNH_2	PF13391.12	HNH endonuclease	43
Thy1	PF02511.20	Thymidylate synthase complementing protein	43
Flavodoxin_5	PF12724.12	Flavodoxin domain	3
FMN_red	PF03358.20	NADPH-dependent FMN reductase	15
Flavodoxin_1	PF00258.30	Flavodoxin	5
FecCD	PF01032.23	FecCD transport family	4
DDE_3	PF13358.12	DDE superfamily endonuclease	16
HTH_33	PF13592.12	Winged helix-turn helix	7
HTH_32	PF13565.12	Homeodomain-like domain	61
HTH_29	PF13551.12	Winged helix-turn helix	125
YdaS_toxin	PF15943.11	Bacterial toxin YdaS	20
Phage_AlpA	PF05930.18	Prophage CP4-57 regulatory protein (AlpA)	40
NucS_C	PF01939.22	Endonuclease NucS C-terminal domain	8
bPH_2	PF03703.20	Bacterial PH domain	2
Beta-lactamase2	PF13354.11	Beta-lactamase enzyme family	20
Peptidase_S11	PF00768.25	D-alanyl-D-alanine carboxypeptidase	8
Queuosine_synth	PF02547.20	Queuosine biosynthesis protein	3
OmpA	PF00691.25	OmpA family	15
BamE	PF04355.18	Outer membrane protein assembly factor BamE domain	2
Pilus_CpaD	PF09476.15	Pilus biogenesis CpaD protein (pilus_cpaD)	1
TIR	PF01582.25	TIR domain	12
DUF6791	PF20590.3	Domain of unknown function (DUF6791)	2
ThiF	PF00899.27	ThiF family	24
YyzF	PF14116.11	YyzF-like protein	6
Enolase_C	PF00113.28	Enolase, C-terminal TIM barrel domain	5
Enolase_N	PF03952.21	Enolase, N-terminal domain	5
MR_MLE_C	PF13378.12	Enolase C-terminal domain-like	8
GST_C	PF00043.30	Glutathione S-transferase, C-terminal domain	17
GST_C_2	PF13410.11	Glutathione S-transferase, C-terminal domain	23
Pyr_redox_dim	PF02852.28	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain	7
Pyr_redox_3	PF13738.12	Pyridine nucleotide-disulphide oxidoreductase	37
FAD_binding_3	PF01494.25	FAD binding domain	33
Thi4	PF01946.23	Thi4 family	11
Radical_SAM	PF04055.27	Radical SAM superfamily	53
YafO_toxin	PF13957.11	Toxin YafO, type II toxin-antitoxin system	2
Xre_MbcA_ParS_C	PF09722.15	Antitoxin Xre/MbcA/ParS C-terminal toxin-binding domain	21
MobA_MobL	PF03389.21	MobA/MobL family	9
Viral_helicase1	PF01443.24	Viral (Superfamily 1) RNA helicase	187
SH3_13	PF18335.7	ATP-dependent RecD-like DNA helicase SH3 domain	11
TraI_hel_assoc_N	PF22232.2	TraI helicase-associated ssDNA bd, N-terminal	15
PIF1	PF05970.20	PIF1-like helicase	12
AAA_11	PF13086.12	AAA domain	81
DUF6088	PF19570.5	Family of unknown function (DUF6088)	15
Phage_capsid	PF05065.19	Phage capsid family	3
Peptidase_S78	PF04586.22	Caudovirus prohead serine protease	5
wHTH-PRTase_assc	PF24409.1	wHTH-PRTase associated	36
Bac_DnaA	PF00308.24	Bacterial DnaA ATPAse domain	45
PhoH	PF02562.22	PhoH-like protein	33
MarR_2	PF12802.13	MarR family	69
Mu-transpos_C	PF09299.17	Mu transposase, C-terminal	34
FMN_bind_2	PF04299.18	Putative FMN-binding domain	1
Pyridox_ox_2	PF12900.13	Pyridoxamine 5'-phosphate oxidase	1
SHMT	PF00464.25	Serine hydroxymethyltransferase	3
Isochorismatase	PF00857.25	Isochorismatase family	9
MoCoBD_2	PF20256.3	Molybdopterin cofactor-binding domain	10
MoCoBD_1	PF02738.23	Molybdopterin cofactor-binding domain	8
Ald_Xan_dh_C	PF01315.27	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain	8
Peptidase_M13_N	PF05649.18	Peptidase family M13	4
Peptidase_M13	PF01431.27	Peptidase family M13	4
NUMOD1	PF07453.19	NUMOD1 domain	15
I-HmuI_NUMOD-like	PF22083.2	DNA endonuclease I-HmuI-like, NUMOD-like domain	6
NmrA	PF05368.19	NmrA-like family	30
HicB	PF05534.18	HicB family	13
ROK	PF00480.26	ROK family	13
TrkA_N	PF02254.24	TrkA-N domain	14
Rubrerythrin	PF02915.23	Rubrerythrin	4
RUBY_RBDX	PF21349.2	Rubrerythrin, rubredoxin-like domain	8
Ferritin	PF00210.30	Ferritin-like domain	2
DUF2975	PF11188.13	Protein of unknown function (DUF2975)	3
HYR_4C	PF23237.1	HYR-like domain with 4 cysteines	21
GFA	PF04828.21	Glutathione-dependent formaldehyde-activating enzyme	8
HgmA_N	PF20510.4	Homogentisate 1,2-dioxygenase N-terminal	1
HgmA_C	PF04209.19	Homogentisate 1,2-dioxygenase C-terminal	1
SDR	PF23441.1	SDR-like rossmann domain	35
DUF3077	PF11275.13	Protein of unknown function (DUF3077)	26
Rce1-like	PF02517.21	Type II CAAX prenyl endopeptidase Rce1-like	10
Hydantoinase_A	PF01968.24	Hydantoinase/oxoprolinase	4
FhuF	PF06276.17	Ferric iron reductase FhuF-like transporter	1
FhuF_C	PF11575.13	FhuF 2Fe-2S C-terminal domain	1
DUF6431	PF20020.4	Domain of unknown function (DUF6431)	1
DUF3800	PF12686.12	Protein of unknown function (DUF3800)	18
DUF2867	PF11066.14	Protein of unknown function (DUF2867)	1
Thymidylate_kin	PF02223.23	Thymidylate kinase	10
AbiGi	PF10899.13	Putative abortive phage resistance protein AbiGi, antitoxin	6
PDDEXK_7	PF04411.18	PD-(D/E)XK nuclease superfamily	5
DUF2357	PF09823.15	Domain of unknown function (DUF2357)	6
DUF2254	PF10011.15	Predicted membrane protein (DUF2254)	2
PTS_EIIA_1	PF00358.26	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	1
PTS_EIIC	PF02378.23	Phosphotransferase system, EIIC	7
PTS_EIIB	PF00367.25	phosphotransferase system, EIIB	4
Transgly	PF00912.27	Transglycosylase	7
Transpeptidase	PF00905.27	Penicillin binding protein transpeptidase domain	9
BiPBP_C	PF06832.18	Penicillin-Binding Protein C-terminus Family	2
WbqC	PF08889.16	WbqC-like protein family	1
FadA	PF09403.15	Adhesion protein FadA	1
dUTPase_2	PF08761.16	dUTPase	54
S1	PF00575.29	S1 RNA binding domain	24
S1_RRP5	PF23459.1	RRP5 S1 domain	11
Spt6_S1	PF21710.3	Spt6, S1/OB domain	6
PCB_OB	PF17092.11	Penicillin-binding protein OB-like domain	2
S1_2	PF13509.12	S1 domain	3
OB_RRP5_4th	PF24685.1	RRP5 OB-fold domain	1
LysC	PF23793.1	Rz1-like lysis system protein LysC	1
DDE_Tnp_ISL3	PF01610.23	Transposase	19
TPR_MalT	PF17874.7	MalT-like TPR region	20
TPR_7	PF13176.12	Tetratricopeptide repeat	26
TPR_17	PF13431.12	Tetratricopeptide repeat	23
DUF7689	PF24738.1	Domain of unknown function (DUF7689)	1
Z1	PF10593.14	Z1 domain	8
DUF3732	PF12532.13	Protein of unknown function (DUF3732)	20
Trp_repressor	PF01371.25	Trp repressor protein	6
HTH_37	PF13744.12	Helix-turn-helix domain	55
Ion_trans	PF00520.37	Ion transport protein	1
Ion_trans_2	PF07885.22	Ion channel	5
LysR_substrate	PF03466.25	LysR substrate binding domain	111
HTH_1	PF00126.33	Bacterial regulatory helix-turn-helix protein, lysR family	105
Amidohydro_2	PF04909.20	Amidohydrolase	12
SH3_3	PF08239.17	Bacterial SH3 domain	17
TrbL	PF04610.19	TrbL/VirB6 plasmid conjugal transfer protein	11
RepB	PF07506.17	RepB plasmid partitioning protein	11
HAD_2	PF13419.12	Haloacid dehalogenase-like hydrolase	30
Hydrolase	PF00702.32	haloacid dehalogenase-like hydrolase	56
Hydrolase_like	PF13242.12	HAD-hyrolase-like	20
HAD	PF12710.13	haloacid dehalogenase-like hydrolase	15
Hydrolase_6	PF13344.12	Haloacid dehalogenase-like hydrolase	7
Mob_Pre	PF01076.25	Plasmid recombination enzyme	11
Phage_CI_repr	PF07022.19	Bacteriophage CI repressor helix-turn-helix domain	23
BD-FAE	PF20434.4	BD-FAE	31
HEPN_AbiV	PF18728.6	AbiV	3
RdgC	PF04381.17	Putative exonuclease, RdgC	2
Pro_CA	PF00484.24	Carbonic anhydrase	3
PhdYeFM_antitox	PF02604.25	Antitoxin Phd_YefM, type II toxin-antitoxin system	24
RraA-like	PF03737.21	Aldolase/RraA	8
DUF4747	PF15931.10	Domain of unknown function (DUF4747)	1
Gamma_PGA_hydro	PF05908.16	Poly-gamma-glutamate hydrolase	9
PMSR	PF01625.26	Peptide methionine sulfoxide reductase	12
SelR	PF01641.25	SelR domain	7
MerR-DNA-bind	PF09278.17	MerR, DNA binding	11
MerR_1	PF13411.12	MerR HTH family regulatory protein	54
MerR	PF00376.29	MerR family regulatory protein	46
UvrD_C	PF13361.12	UvrD-like helicase C-terminal domain	117
UvrD_C_2	PF13538.12	UvrD-like helicase C-terminal domain	122
Pribosyltran	PF00156.33	Phosphoribosyl transferase domain	12
UPRTase	PF14681.12	Uracil phosphoribosyltransferase	1
FCD	PF07729.17	FCD domain	10
GntR	PF00392.27	Bacterial regulatory proteins, gntR family	33
DUF6429	PF20008.4	Domain of unknown function (DUF6429)	3
Fic-like_C	PF21247.3	Filamentation induced by cAMP protein Fic-like, C-terminal domain	2
MazG-like	PF12643.12	MazG-like family	19
MazG	PF03819.22	MazG nucleotide pyrophosphohydrolase domain	14
DUF3871	PF12987.12	Domain of unknown function, B. Theta Gene description (DUF3871)	10
YARHG	PF13308.11	YARHG domain	1
PIN_8	PF18476.7	PIN like domain	9
TPR_6	PF13174.12	Tetratricopeptide repeat	16
DUF6538	PF20172.3	Domain of unknown function (DUF6538)	17
DUF5412	PF17428.7	Family of unknown function (DUF5412)	1
DNA_pol3_beta	PF00712.24	DNA polymerase III beta subunit, N-terminal domain	26
DNA_pol3_beta_2	PF02767.21	DNA polymerase III beta subunit, central domain	19
DNA_pol3_beta_3	PF02768.20	DNA polymerase III beta subunit, C-terminal domain	10
Cpn60_TCP1	PF00118.29	TCP-1/cpn60 chaperonin family	13
ABC_tran	PF00005.33	ABC transporter	258
DUF6476	PF20082.4	Family of unknown function (DUF6476)	1
YobI-ATPase	PF20693.3	YobI-like P-loop NTPase	14
PdxA	PF04166.17	Pyridoxal phosphate biosynthetic protein PdxA	2
IMS	PF00817.25	impB/mucB/samB family	35
IMS_C	PF11799.13	impB/mucB/samB family C-terminal domain	28
IMS_HHH	PF11798.14	IMS family HHH motif	20
IMS_HHH_1	PF21999.2	DNA polymerase-iota, thumb domain	17
Cdd1	PF11731.14	Pathogenicity locus	2
Phage_P2_GpU	PF06995.16	Phage P2 GpU	3
tRNA_synt_2f	PF02092.22	Glycyl-tRNA synthetase beta subunit	1
DALR_1	PF05746.21	DALR anticodon binding domain	3
NifW	PF03206.19	Nitrogen fixation protein NifW	1
T1R_D3-like	PF22679.2	Type I restriction enzyme subunit R domain 3	65
PDDEXK_4	PF14281.12	PD-(D/E)XK nuclease superfamily	6
Beta-Casp	PF10996.14	Beta-Casp domain	6
Lactamase_B_2	PF12706.13	Beta-lactamase superfamily domain	23
Lactamase_B_6	PF16661.11	Metallo-beta-lactamase superfamily domain	9
DHHA1	PF02272.24	DHHA1 domain	4
TraI_2	PF07514.17	Putative helicase	20
TraI_2_C	PF07515.17	Putative conjugal transfer nickase/helicase TraI C-term	17
MnmE_helical	PF12631.12	MnmE helical domain	9
TrmE_N	PF10396.14	GTP-binding protein TrmE N-terminus	9
Roc	PF08477.19	Ras of Complex, Roc, domain of DAPkinase	13
ParE_toxin	PF05016.21	ParE toxin of type II toxin-antitoxin system, parDE	24
MFS_4	PF06779.20	Uncharacterised MFS-type transporter YbfB	13
TonB_dep_Rec_b-barrel	PF00593.30	TonB dependent receptor-like, beta-barrel	47
Plug	PF07715.20	TonB-dependent Receptor Plug Domain	51
Peptidase_M17	PF00883.26	Cytosol aminopeptidase family, catalytic domain	1
Peptidase_M17_N	PF02789.23	Cytosol aminopeptidase family, N-terminal domain	2
NQR2_RnfD_RnfE	PF03116.20	NQR2, RnfD, RnfE family	1
SLFN-g3_helicase	PF09848.15	Schlafen group 3, DNA/RNA helicase domain	50
ZT_dimer	PF16916.10	Dimerisation domain of Zinc Transporter	3
MC7	PF20292.4	ABC-three component (ABC-3C) system Middle Component 7	1
MC6	PF20293.4	ABC-three component (ABC-3C) system Middle Component 6	3
TraG_N	PF07916.16	TraG-like protein, N-terminal region	4
Acyl_transf_3	PF01757.28	Acyltransferase family	14
AA_kinase	PF00696.33	Amino acid kinase family	7
PUA	PF01472.26	PUA domain	3
Cyc-maltodext_N	PF09087.17	Cyclomaltodextrinase, N-terminal	1
Cyc-maltodext_C	PF10438.15	Cyclo-malto-dextrinase C-terminal domain	2
Malt_amylase_C	PF16657.11	Maltogenic Amylase, C-terminal domain	4
hDGE_amylase	PF14701.12	Glycogen debranching enzyme, glucanotransferase domain	3
Integrase_1	PF12835.12	Integrase	27
Phage_int_SAM_2	PF12834.13	Phage integrase, N-terminal	6
Peptidase_M56	PF05569.17	BlaR1 peptidase M56	3
cobW	PF02492.25	CobW/HypB/UreG, nucleotide-binding domain	13
DPPIV_N	PF00930.27	Dipeptidyl peptidase IV (DPP IV) N-terminal region	6
CtnDOT_TraJ	PF07863.16	Homologues of TraJ from Bacteroides conjugative transposon	1
Pterin_4a	PF01329.24	Pterin 4 alpha carbinolamine dehydratase	1
ODP	PF19583.5	ODP family beta lactamase	6
Erythro_esteras	PF05139.19	Erythromycin esterase	1
AbiEi_4	PF13338.12	Transcriptional regulator, AbiEi antitoxin	26
NTP_transferase	PF00483.29	Nucleotidyl transferase	21
NTP_transf_3	PF12804.13	MobA-like NTP transferase domain	22
Arm-DNA-bind_3	PF13356.12	Arm DNA-binding domain	87
Phage_int_M	PF22022.2	Phage integrase central domain	104
Phage_int_SAM_3	PF14659.12	Phage integrase, N-terminal SAM-like domain	56
Cupin_2	PF07883.17	Cupin domain	44
Cupin_3	PF05899.18	EutQ-like cupin domain	9
DDE_Tnp_Tn3	PF01526.23	Tn3 transposase DDE domain	8
DUF4158	PF13700.11	Domain of unknown function (DUF4158)	7
ThiJ_like	PF17124.11	ThiJ/PfpI family-like	5
DUF2813	PF11398.14	Protein of unknown function (DUF2813)	159
PALP	PF00291.31	Pyridoxal-phosphate dependent enzyme	15
Thr_synth_N	PF14821.11	Threonine synthase N terminus	5
tRNA-synt_His	PF13393.11	Histidyl-tRNA synthetase	6
tRNA-synt_2b	PF00587.30	tRNA synthetase class II core domain (G, H, P, S and T)	5
HGTP_anticodon	PF03129.25	Anticodon binding domain	3
tRNA-synt_2	PF00152.25	tRNA synthetases class II (D, K and N)	7
Cas_Csy3	PF09615.15	CRISPR-associated protein (Cas_Csy3)	4
Aconitase	PF00330.25	Aconitase family (aconitate hydratase)	4
Phos_pyr_kin	PF08543.17	Phosphomethylpyrimidine kinase	8
Carb_kinase	PF01256.22	Carbohydrate kinase	1
Aldolase	PF01081.25	KDPG and KHG aldolase	2
HATPase_c	PF02518.31	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	127
HATPase_c_5	PF14501.12	GHKL domain	9
HATPase_c_2	PF13581.12	Histidine kinase-like ATPase domain	26
MeaB	PF03308.22	Methylmalonyl Co-A mutase-associated GTPase MeaB	17
Arm-DNA-bind_4	PF14657.12	Arm DNA-binding domain	11
Transposase_20	PF02371.22	Transposase IS116/IS110/IS902 family	30
DEDD_Tnp_IS110	PF01548.22	Transposase	25
OrfB_IS605	PF01385.25	Probable transposase	6
Zn_ribbon_OrfB	PF07282.17	Putative transposase DNA-binding domain	5
HTH_OrfB_IS605	PF12323.14	Helix-turn-helix domain	3
DHOR	PF06537.16	Di-haem oxidoreductase, putative peroxidase	2
Cytochrom_C	PF00034.26	Cytochrome c	18
Colicin_Pyocin	PF01320.23	Colicin immunity protein / pyocin immunity protein	1
EFG_IV	PF03764.24	Elongation factor G, domain IV	5
EFG_C	PF00679.30	Elongation factor G C-terminus	7
EFG_III	PF14492.12	Elongation Factor G, domain III	7
EF-G_D2	PF22042.2	Elongation factor G domain 2	5
GTP_EFTU_D2	PF03144.31	Elongation factor Tu domain 2	11
Ammonium_transp	PF00909.26	Ammonium Transporter Family	4
DUF5677	PF18928.5	Family of unknown function (DUF5677)	10
RskA_C	PF10099.14	Anti-sigma-K factor rskA, C-terminal	1
DUF3392	PF11872.13	Protein of unknown function (DUF3392)	1
DUF3737	PF12541.14	Protein of unknown function (DUF3737)	1
TehB	PF03848.20	Tellurite resistance protein TehB	18
TPMT	PF05724.17	Thiopurine S-methyltransferase (TPMT)	5
Thioredoxin	PF00085.26	Thioredoxin	23
Thioredoxin_2	PF13098.12	Thioredoxin-like domain	16
Thioredoxin_8	PF13905.12	Thioredoxin-like	23
Redoxin	PF08534.16	Redoxin	31
AhpC-TSA	PF00578.27	AhpC/TSA family	29
Thioredoxin_9	PF14595.12	Thioredoxin	3
OST3_OST6	PF04756.19	OST3 / OST6 family, transporter family	4
Thioredoxin_7	PF13899.12	Thioredoxin-like	7
GAAD	PF19976.4	GTPase-associated adaptor domain	1
DUF7379	PF24096.1	Domain of unknown function (DUF7379)	4
DUF676	PF05057.20	Putative serine esterase (DUF676)	6
SIS	PF01380.27	SIS domain	52
GATase_6	PF13522.11	Glutamine amidotransferase domain	16
GATase_7	PF13537.11	Glutamine amidotransferase domain	14
GATase_4	PF13230.11	Glutamine amidotransferases class-II	10
DUF3226	PF11536.14	Protein of unknown function (DUF3226)	2
LysM	PF01476.26	LysM domain	15
Herpes_ori_bp	PF02399.21	Origin of replication binding protein	1
NERD	PF08378.17	Nuclease-related domain	31
DUF2976	PF11190.13	Protein of unknown function (DUF2976)	2
tRNA-synt_1	PF00133.28	tRNA synthetases class I (I, L, M and V)	18
Anticodon_1	PF08264.19	Anticodon-binding domain of tRNA ligase	15
Val_tRNA-synt_C	PF10458.14	Valyl tRNA synthetase tRNA binding arm	14
tRNA-synt_1g	PF09334.17	tRNA synthetases class I (M)	35
tRNA-synt_1_2	PF13603.12	Leucyl-tRNA synthetase, editing domain	20
FlhE	PF06366.19	Flagellar protein FlhE	1
DUF7133	PF23500.1	Domain of unknown function (DUF7133)	6
HEAT_2	PF13646.12	HEAT repeats	8
HEAT	PF02985.28	HEAT repeat	2
DUF347	PF03988.17	Repeat of Unknown Function (DUF347)	4
BrxA	PF08849.17	BrxA	2
DUF3079	PF11278.13	Protein of unknown function (DUF3079)	6
TnpB_IS66	PF05717.18	IS66 Orf2 like protein	41
Ribosomal_L28	PF00830.24	Ribosomal L28 family	3
Prok-E2_B	PF14461.11	Prokaryotic E2 family B	4
Dabb	PF07876.18	Stress responsive A/B Barrel Domain	1
TetR_C_13	PF16925.10	Tetracyclin repressor-like, C-terminal domain	12
TetR_C_13_2	PF21993.1	Transcriptional regulator LmrA/YxaF-like, C-terminal domain	6
TetR_C_31	PF17940.6	Tetracyclin repressor-like, C-terminal domain	2
DnaJ_C	PF01556.23	DnaJ C terminal domain	2
DnaJ	PF00226.36	DnaJ domain	18
Iso_dh	PF00180.25	Isocitrate/isopropylmalate dehydrogenase	8
Ribosomal_L9_C	PF03948.19	Ribosomal protein L9, C-terminal domain	2
Ribosomal_L9_N	PF01281.24	Ribosomal protein L9, N-terminal domain	2
Terminase_5	PF06056.18	Putative ATPase subunit of terminase (gpP-like)	17
DUF218	PF02698.23	DUF218 domain	1
GEVED	PF20009.4	GEVED domain	3
fn3	PF00041.27	Fibronectin type III domain	32
Peptidase_M43	PF05572.19	Pregnancy-associated plasma protein-A	3
Por_Secre_tail	PF18962.6	Secretion system C-terminal sorting domain	16
fn3_2	PF16893.11	Fibronectin type III domain	2
AraC_binding	PF02311.25	AraC-like ligand binding domain	31
ARD	PF03079.20	ARD/ARD' family	1
RP-C	PF03428.19	Replication protein C N-terminal domain	6
RP-C_C	PF11800.13	Replication protein C C-terminal region	5
HTH_5	PF01022.26	Bacterial regulatory protein, arsR family	35
HTH_IclR	PF09339.16	IclR helix-turn-helix domain	43
HAD_SAK_2	PF18143.6	HAD domain in Swiss Army Knife RNA repair proteins	11
PG_binding_1	PF01471.23	Putative peptidoglycan binding domain	15
Peptidase_M15_4	PF13539.11	D-alanyl-D-alanine carboxypeptidase	2
ketoacyl-synt	PF00109.32	Beta-ketoacyl synthase, N-terminal domain	5
Ketoacyl-synt_C	PF02801.28	Beta-ketoacyl synthase, C-terminal domain	4
Aldedh	PF00171.27	Aldehyde dehydrogenase family	39
DUF5683	PF18935.5	Family of unknown function (DUF5683)	1
Int_N	PF24624.1	Phage integrase, N-terminal domain	18
ABC_tran_CTD	PF16326.10	ABC transporter C-terminal domain	3
ABC_tran_Xtn	PF12848.13	ABC transporter	11
LPD7	PF18821.6	Large polyvalent protein-associated domain 7	2
Relaxase	PF03432.20	MobA/VirD2-like, nuclease domain	50
SIR2_2	PF13289.12	SIR2-like domain	56
GlcNAc	PF11397.14	Glycosyltransferase (GlcNAc)	2
PDDEXK_1	PF12705.13	PD-(D/E)XK nuclease superfamily	9
2-oxoacid_dh	PF00198.28	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	2
E3_binding	PF02817.22	e3 binding domain	3
PAS	PF00989.31	PAS fold	71
PAS_4	PF08448.16	PAS fold	63
PAS_9	PF13426.13	PAS domain	62
PAS_7	PF12860.13	PAS fold	5
PAS_8	PF13188.13	PAS domain	43
PAS_3	PF08447.18	PAS fold	54
PhzC-PhzF	PF02567.21	Phenazine biosynthesis-like protein	5
Sel1	PF08238.18	Sel1 repeat	36
Cytochrome_CBB3	PF13442.11	Cytochrome C oxidase, cbb3-type, subunit III	11
