Most Frequent Protein ID	Frequency	Description
WP_079534417.1	18	DUF6264 family protein
WP_079534419.1	18	DNA recombination protein RmuC
WP_079534425.1	18	DUF3090 domain-containing protein
WP_077208743.1	18	hypothetical protein
WP_045260803.1	18	hypothetical protein
WP_227508163.1	18	hypothetical protein
WP_148311892.1	18	hypothetical protein
WP_039146639.1	18	hypothetical protein
WP_148311890.1	18	hypothetical protein
WP_148311889.1	18	hypothetical protein
WP_033942042.1	18	hypothetical protein
WP_033942041.1	18	hypothetical protein
WP_312845001.1	18	hypothetical protein
WP_332569568.1	17	universal stress protein
WP_310288567.1	17	DNA/RNA helicase domain-containing protein
WP_087867833.1	17	serine protease
WP_082236592.1	17	DNA-processing protein DprA
WP_081489820.1	17	DUF3606 domain-containing protein
Unknown	17	NUDIX domain-containing protein
WP_059357146.1	17	sodium/glutamate symporter
WP_323520866.1	17	nuclear transport factor 2 family protein
WP_370203489.1	17	TonB-dependent siderophore receptor
Unknown	17	mechanosensitive ion channel domain-containing protein
WP_391581020.1	17	thermonuclease family protein
WP_234352614.1	17	type IV secretion system protein
WP_183605398.1	17	lysozyme
WP_003335626.1	17	ABC-three component system middle component 2
WP_100676161.1	17	DUF4268 domain-containing protein
Unknown	17	OmpA family protein
WP_096753129.1	17	macro domain-containing protein
WP_071845381.1	17	His-Xaa-Ser system radical SAM maturase HxsC
WP_071845382.1	17	His-Xaa-Ser repeat protein HxsA
WP_035196177.1	17	two-component system regulatory protein YycI
WP_003123050.1	17	DUF2845 domain-containing protein
WP_003085431.1	17	YjhX family toxin
WP_003830141.1	17	PFL_4669 family integrating conjugative element protein
WP_077019769.1	17	hypothetical protein
WP_077233538.1	17	hypothetical protein
WP_021499437.1	17	hypothetical protein
WP_157835604.1	17	hypothetical protein
WP_164455106.1	17	hypothetical protein
WP_174956895.1	17	hypothetical protein
WP_174956896.1	17	hypothetical protein
WP_174956897.1	17	hypothetical protein
WP_174956904.1	17	hypothetical protein
WP_124988805.1	17	hypothetical protein
WP_058807775.1	16	RES family NAD+ phosphorylase
WP_009043915.1	16	NACHT domain-containing protein
WP_295186756.1	16	chromosomal replication initiator protein DnaA
WP_203538674.1	16	DNA topoisomerase (ATP-hydrolyzing) subunit B
WP_003411788.1	16	RNA polymerase sigma factor RpoD
WP_305614630.1	16	ComEC/Rec2 family competence protein
WP_088065458.1	16	type II toxin-antitoxin system HicB family antitoxin
WP_134257479.1	16	phosphoadenosine phosphosulfate reductase family protein
WP_015386414.1	16	DNA repair protein RadC
WP_150153041.1	16	pantetheine-phosphate adenylyltransferase
WP_150153037.1	16	DNA integrity scanning diadenylate cyclase DisA
WP_080680529.1	16	carbohydrate kinase
WP_003401400.1	16	CopG family ribbon-helix-helix protein
WP_000556048.1	16	D-serine transporter DsdX
WP_001300996.1	16	DNA-binding transcriptional regulator DsdC
WP_058689627.1	16	phage repressor protein CI
WP_197803523.1	16	LuxR C-terminal-related transcriptional regulator
Unknown	16	4Fe-4S cluster-binding domain-containing protein
Unknown	16	chromosome segregation protein SMC
WP_293154358.1	16	biotin--[acetyl-CoA-carboxylase] ligase
WP_045260073.1	16	xanthine/proton symporter XanP
WP_177065198.1	16	formate dehydrogenase subunit alpha
WP_096753037.1	16	DUF4433 domain-containing protein
WP_047730229.1	16	His-Xaa-Ser system radical SAM maturase HxsB
WP_311043567.1	16	dGTP triphosphohydrolase
WP_016927040.1	16	branched-chain amino acid ABC transporter substrate-binding protein
WP_057006259.1	16	fluoride efflux transporter CrcB
WP_077038495.1	16	hypothetical protein
WP_148311891.1	16	hypothetical protein
WP_039146642.1	16	hypothetical protein
WP_126852885.1	16	hypothetical protein
WP_126852886.1	16	hypothetical protein
WP_142448068.1	16	hypothetical protein
WP_176331317.1	16	hypothetical protein
WP_005023468.1	15	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha
WP_369466709.1	15	ParB N-terminal domain-containing protein
WP_060781361.1	15	diaminopimelate epimerase
WP_033648644.1	15	phosphonate metabolism transcriptional regulator PhnF
WP_019453314.1	15	phosphonate C-P lyase system protein PhnG
WP_049081713.1	15	FAD-binding oxidoreductase
WP_052057613.1	15	IclR family transcriptional regulator
WP_062093392.1	15	conjugal transfer protein TraG
WP_104282837.1	15	extracellular solute-binding protein
WP_003400414.1	15	inositol monophosphatase family protein
WP_074391576.1	15	shikimate kinase
WP_063173777.1	15	SH3 domain-containing protein
WP_058455775.1	15	DUF2493 domain-containing protein
WP_363318925.1	15	glutathione S-transferase family protein
WP_023302415.1	15	His-Xaa-Ser system protein HxsD
WP_076053575.1	15	arabinogalactan endo-1%2C4-beta-galactosidase
WP_080686754.1	15	GTP pyrophosphokinase family protein
WP_003830134.1	15	STY4528 family pathogenicity island replication protein
WP_003830143.1	15	DUF3158 family protein
WP_001003406.1	15	STY4534 family ICE replication protein
WP_025652135.1	15	DNA repair ATPase
WP_020904091.1	15	hypothetical protein
WP_074027183.1	15	hypothetical protein
WP_119871894.1	15	hypothetical protein
WP_003454977.1	15	hypothetical protein
WP_192188530.1	15	hypothetical protein
WP_192188532.1	15	hypothetical protein
WP_192188535.1	15	hypothetical protein
WP_164455110.1	15	hypothetical protein
WP_167787018.1	14	type II toxin-antitoxin system RelB/DinJ family antitoxin
WP_153871695.1	14	alpha/beta hydrolase family protein
WP_215715872.1	14	radical SAM protein
WP_006490996.1	14	DNA polymerase III subunit beta
WP_049081712.1	14	EamA family transporter
WP_011808960.1	14	DISARM system SNF2-like helicase DrmD
WP_082749283.1	14	CopG family transcriptional regulator
WP_081448438.1	14	ParA family protein
WP_004185904.1	14	undecaprenyl-diphosphate phosphatase
Unknown	14	dTMP kinase
WP_086980532.1	14	M1 family metallopeptidase
WP_126329493.1	14	antirestriction protein
WP_001790547.1	14	30S ribosomal protein S9
WP_005026302.1	14	EcoAI/FtnUII family type I restriction enzme subunit R
WP_130097546.1	14	YncE family protein
WP_004248086.1	14	antibiotic biosynthesis monooxygenase
WP_000426426.1	14	D-serine ammonia-lyase
WP_126887501.1	14	DUF317 domain-containing protein
WP_130707742.1	14	excinuclease ABC subunit UvrB
WP_058689625.1	14	phage regulatory CII family protein
WP_043128371.1	14	amidase
WP_046672133.1	14	30S ribosomal protein S21
WP_101613895.1	14	YybH family protein
WP_290474907.1	14	DinB family protein
Unknown	14	alpha-amylase family glycosyl hydrolase
WP_107006175.1	14	DNA polymerase III subunit alpha
WP_303029665.1	14	glycosyltransferase family 4 protein
WP_135906805.1	14	ImuA family protein
WP_048299609.1	14	flavin reductase family protein
WP_079534429.1	14	DUF2510 domain-containing protein
WP_015386413.1	14	DUF987 family protein
WP_003830133.1	14	DUF2857 domain-containing protein
WP_139777118.1	14	hypothetical protein
WP_142448069.1	14	hypothetical protein
WP_022065656.1	14	hypothetical protein
WP_096855502.1	14	hypothetical protein
WP_003146175.1	14	hypothetical protein
WP_225556149.1	14	hypothetical protein
WP_138425530.1	14	hypothetical protein
WP_187293750.1	14	hypothetical protein
WP_138425534.1	14	hypothetical protein
WP_138425535.1	14	hypothetical protein
WP_138425538.1	14	hypothetical protein
WP_155024530.1	14	hypothetical protein
WP_155024531.1	14	hypothetical protein
WP_000863683.1	14	hypothetical protein
WP_079378922.1	14	hypothetical protein
WP_059444015.1	13	DNA/RNA non-specific endonuclease
WP_096753037.1	13	type II toxin-antitoxin system toxin DNA ADP-ribosyl transferase DarT
WP_096753129.1	13	type II toxin-antitoxin system antitoxin DNA ADP-ribosyl glycohydrolase DarG
WP_025537069.1	13	TOPRIM nucleotidyl transferase/hydrolase domain-containing protein
Unknown	13	DUF6602 domain-containing protein
WP_019985955.1	13	serine hydrolase domain-containing protein
WP_352818384.1	13	phage integrase N-terminal SAM-like domain-containing protein
WP_261973809.1	13	McrC family protein
WP_038752526.1	13	YkgJ family cysteine cluster protein
Unknown	13	tail fiber assembly protein
WP_264998326.1	13	phage tail protein
Unknown	13	type II toxin-antitoxin system PemK/MazF family toxin
WP_214590908.1	13	type II toxin-antitoxin system ParD family antitoxin
WP_126214752.1	13	DUF6538 domain-containing protein
WP_035997172.1	13	GntR family transcriptional regulator
WP_137060683.1	13	FaeA/PapI family transcriptional regulator
WP_172606114.1	13	Mov34/MPN/PAD-1 family protein
WP_087422598.1	13	DoxX family protein
WP_226797468.1	13	Abi family protein
WP_359518246.1	13	aspartate/glutamate racemase family protein
WP_049082522.1	13	YafY family protein
WP_024590864.1	13	glutathione peroxidase
WP_183605403.1	13	cysteine synthase A
WP_183605396.1	13	glutathione synthase
WP_017780915.1	13	purine-nucleoside phosphorylase
WP_043877784.1	13	CBASS oligonucleotide cyclase
WP_093319620.1	13	TlpA disulfide reductase family protein
WP_144397334.1	13	poly-gamma-glutamate hydrolase family protein
WP_117999880.1	13	ATPase
WP_177065189.1	13	sterol desaturase family protein
WP_177062230.1	13	DeoR/GlpR family DNA-binding transcription regulator
WP_025652141.1	13	bile acid:sodium symporter family protein
WP_060189869.1	13	ribonuclease R
WP_162519004.1	13	plasmid recombination protein
WP_314917629.1	13	abortive infection family protein
WP_103764495.1	13	SMC-Scp complex subunit ScpB
WP_034866410.1	13	HupE/UreJ family protein
WP_097409753.1	13	adenylate/guanylate cyclase
WP_126242936.1	13	Fis family transcriptional regulator
WP_022064767.1	13	glycosyl hydrolase family 4
WP_032733948.1	13	glycoside hydrolase
WP_021510246.1	13	hypothetical protein
WP_021510241.1	13	hypothetical protein
WP_021510240.1	13	hypothetical protein
WP_135718557.1	13	hypothetical protein
WP_012075813.1	13	hypothetical protein
WP_096855501.1	13	hypothetical protein
WP_058821169.1	13	hypothetical protein
WP_061377474.1	13	hypothetical protein
WP_005131151.1	13	hypothetical protein
WP_206641026.1	13	hypothetical protein
WP_227043861.1	13	hypothetical protein
WP_124119274.1	13	hypothetical protein
WP_124119276.1	13	hypothetical protein
WP_162275224.1	13	hypothetical protein
WP_139327951.1	13	hypothetical protein
WP_076053585.1	13	hypothetical protein
WP_193537585.1	12	S9 family peptidase
WP_309082843.1	12	DUF2924 domain-containing protein
WP_138737836.1	12	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
WP_099538429.1	12	lytic transglycosylase domain-containing protein
WP_001339419.1	12	type II toxin-antitoxin system toxin RatA
WP_008335621.1	12	DUF736 domain-containing protein
WP_114503241.1	12	P-type DNA transfer ATPase VirB11
WP_279751346.1	12	U32 family peptidase
WP_110825642.1	12	peptide-methionine (S)-S-oxide reductase MsrA
WP_382322386.1	12	LexA family protein
WP_130097547.1	12	cell envelope integrity TolA C-terminal domain-containing protein
WP_080300965.1	12	ASCH domain-containing protein
WP_241294953.1	12	protein kinase
WP_212668929.1	12	DUF1837 domain-containing protein
WP_110176993.1	12	SAVED domain-containing protein
WP_093090990.1	12	serine hydrolase
WP_319908572.1	12	BCCT family transporter
WP_242792323.1	12	CPBP family intramembrane glutamic endopeptidase
WP_173069735.1	12	Ig-like domain-containing protein
Unknown	12	SMC family ATPase
WP_223287878.1	12	DsbA family oxidoreductase
WP_003400407.1	12	ABC transporter permease subunit
Unknown	12	H-NS histone family protein
WP_005497027.1	12	DNA primase
WP_005303068.1	12	MFS transporter TsgA
WP_102761928.1	12	tripartite tricarboxylate transporter substrate binding protein
WP_044734887.1	12	monovalent cation:proton antiporter-2 (CPA2) family protein
WP_004584050.1	12	MmcQ/YjbR family DNA-binding protein
WP_013815598.1	12	C1 family peptidase
Unknown	12	IS4 family transposase
WP_010553489.1	12	porin
WP_165624179.1	12	1-acyl-sn-glycerol-3-phosphate acyltransferase
WP_013856833.1	12	replication endonuclease
WP_311750924.1	12	aspartate aminotransferase family protein
WP_089047952.1	12	carboxypeptidase-like regulatory domain-containing protein
WP_313904055.1	12	DUF302 domain-containing protein
WP_073772810.1	12	aspartate 1-decarboxylase
Unknown	12	Rha family transcriptional regulator
WP_246874235.1	12	TonB-dependent receptor domain-containing protein
WP_031983186.1	12	hypothetical protein
WP_060496446.1	12	hypothetical protein
WP_130097545.1	12	hypothetical protein
WP_161215575.1	12	hypothetical protein
WP_183605401.1	12	hypothetical protein
WP_183605399.1	12	hypothetical protein
WP_221960832.1	12	hypothetical protein
WP_221960833.1	12	hypothetical protein
WP_221960835.1	12	hypothetical protein
WP_221960838.1	12	hypothetical protein
WP_135733575.1	12	hypothetical protein
WP_135733574.1	12	hypothetical protein
WP_233368112.1	12	hypothetical protein
WP_041769454.1	12	hypothetical protein
WP_046543941.1	12	hypothetical protein
WP_138425533.1	12	hypothetical protein
WP_105134488.1	12	hypothetical protein
WP_142448070.1	12	hypothetical protein
WP_109223984.1	12	hypothetical protein
WP_033523411.1	12	hypothetical protein
WP_081329270.1	11	nucleoside 2-deoxyribosyltransferase
WP_170035363.1	11	sce7726 family protein
Unknown	11	IS1595 family transposase
WP_005016254.1	11	proton-translocating transhydrogenase family protein
WP_303029664.1	11	acyltransferase family protein
WP_336742952.1	11	DNA polymerase IV
Unknown	11	sigma factor-like helix-turn-helix DNA-binding protein
WP_004198824.1	11	50S ribosomal protein L34
WP_011808967.1	11	DISARM system helicase DrmA
WP_152229033.1	11	DUF4194 domain-containing protein
Unknown	11	transposase family protein
WP_015503648.1	11	tyrosine recombinase XerC
WP_008335621.1	11	DUF736 family protein
WP_012967042.1	11	SIS domain-containing protein
WP_008335632.1	11	AbiJ-NTD4 domain-containing protein
WP_099973773.1	11	peptide chain release factor 2
WP_167815312.1	11	DUF1062 domain-containing protein
WP_284353500.1	11	ATP-binding domain-containing protein
Unknown	11	SEC-C metal-binding domain-containing protein
WP_032902554.1	11	MbcA/ParS/Xre antitoxin family protein
WP_045247703.1	11	DUF2188 domain-containing protein
WP_282042534.1	11	SRPBCC family protein
WP_011154648.1	11	IS66 family insertion sequence element accessory protein TnpA
WP_167860897.1	11	VPA1269 family protein
WP_072072204.1	11	dpoa decarboxylase
WP_138109059.1	11	exodeoxyribonuclease III
Unknown	11	DNA topoisomerase III
WP_126887494.1	11	ATP-dependent DNA ligase
WP_201649510.1	11	antirestriction protein ArdA
WP_408170618.1	11	phosphoribosylanthranilate isomerase
WP_117706972.1	11	molybdenum ABC transporter ATP-binding protein
WP_043128372.1	11	agmatine deiminase
WP_183605405.1	11	Dps family protein
Unknown	11	APC family permease
WP_116035790.1	11	primase-helicase family protein
Unknown	11	TIM barrel protein
WP_198077067.1	11	excisionase
WP_034356088.1	11	carboxymuconolactone decarboxylase family protein
WP_138737835.1	11	putative phage abortive infection protein
WP_076272113.1	11	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
WP_153871692.1	11	chemotaxis protein
WP_354419663.1	11	conjugal transfer protein TraD
WP_216995666.1	11	retron Ec67 family RNA-directed DNA polymerase/endonuclease
WP_053288255.1	11	DUF692 domain-containing protein
WP_319908571.1	11	DNA-binding domain-containing protein
WP_005382298.1	11	NupC/NupG family nucleoside CNT transporter
WP_016981005.1	11	DUF6957 family protein
WP_000102858.1	11	metal-dependent hydrolase
WP_000188676.1	11	DUF3135 domain-containing protein
WP_228287309.1	11	hypothetical protein
WP_022011571.1	11	hypothetical protein
WP_217316081.1	11	hypothetical protein
WP_000748518.1	11	hypothetical protein
WP_107759087.1	11	hypothetical protein
WP_060496452.1	11	hypothetical protein
WP_000432951.1	11	hypothetical protein
WP_055246198.1	11	hypothetical protein
WP_117706974.1	11	hypothetical protein
WP_117706977.1	11	hypothetical protein
WP_059349516.1	11	hypothetical protein
WP_017702487.1	11	hypothetical protein
WP_221960834.1	11	hypothetical protein
WP_139286568.1	11	hypothetical protein
WP_210172026.1	11	hypothetical protein
WP_017400770.1	11	hypothetical protein
WP_017400772.1	11	hypothetical protein
WP_017400773.1	11	hypothetical protein
