Protein ID	Frequency	Description
WP_076053578.1	13	pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type
WP_139327951.1	13	hypothetical protein
WP_076053582.1	13	hypothetical protein
WP_076053585.1	13	hypothetical protein
WP_076053590.1	13	transposase
WP_000812683.1	12	hypothetical protein
WP_031983186.1	12	hypothetical protein
WP_000162574.1	12	SsrA-binding protein SmpB
WP_010257694.1	12	SsrA-binding protein SmpB
WP_004152386.1	12	incFII family plasmid replication initiator RepA
WP_060496445.1	12	FxLYD domain-containing protein
WP_060496446.1	12	hypothetical protein
WP_060496447.1	12	retron St85 family RNA-directed DNA polymerase
WP_130097544.1	12	ShlB/FhaC/HecB family hemolysin secretion/activation protein
WP_130097545.1	12	hypothetical protein
WP_130097546.1	12	YncE family protein
WP_130097547.1	12	cell envelope integrity TolA C-terminal domain-containing protein
WP_130097548.1	12	reverse transcriptase family protein
WP_161215575.1	12	hypothetical protein
WP_130097550.1	12	helix-turn-helix transcriptional regulator
WP_130097551.1	12	inovirus-type Gp2 protein
WP_001300996.1	12	DNA-binding transcriptional regulator DsdC
WP_000158026.1	12	reverse transcriptase family protein
WP_003091965.1	12	MFS transporter
WP_117706975.1	12	thymidylate synthase
WP_004734764.1	12	phenylalanine--tRNA ligase subunit alpha
WP_183605405.1	12	Dps family protein
WP_183605404.1	12	LysE family translocator
WP_183605403.1	12	cysteine synthase A
WP_183605402.1	12	reverse transcriptase family protein
WP_183605401.1	12	hypothetical protein
WP_183605399.1	12	hypothetical protein
WP_183605398.1	12	lysozyme
WP_183605397.1	12	YifB family Mg chelatase-like AAA ATPase
WP_183605396.1	12	glutathione synthase
WP_195307394.1	12	reverse transcriptase family protein
WP_196535031.1	12	hypothetical protein
WP_045260801.1	12	alpha-xylosidase
WP_221960831.1	12	TetR/AcrR family transcriptional regulator
WP_221960832.1	12	hypothetical protein
WP_221960833.1	12	hypothetical protein
WP_221960835.1	12	hypothetical protein
WP_221960836.1	12	HAD family hydrolase
WP_221960837.1	12	NADAR family protein
WP_221960838.1	12	hypothetical protein
WP_221960839.1	12	RHE_PE00001 family protein
WP_033636852.1	12	anaerobic ribonucleoside-triphosphate reductase-activating protein
WP_074027182.1	12	helix-turn-helix domain-containing protein
WP_139286568.1	12	hypothetical protein
WP_135733575.1	12	hypothetical protein
WP_135733574.1	12	hypothetical protein
WP_135733573.1	12	DUF3800 domain-containing protein
WP_233368112.1	12	hypothetical protein
WP_096855500.1	12	caspase family protein
WP_305801415.1	12	Eco57I restriction-modification methylase domain-containing protein
WP_041769454.1	12	hypothetical protein
WP_052720004.1	12	retron St85 family RNA-directed DNA polymerase
WP_045616271.1	12	DUF3883 domain-containing protein
WP_002914178.1	12	LysR family transcriptional regulator
WP_022064768.1	12	PTS transporter subunit EIIC
WP_022064765.1	12	alpha-xylosidase
WP_013856836.1	12	DEAD/DEAH box helicase
WP_334199505.1	12	sulfite exporter TauE/SafE family protein
WP_079534417.1	12	DUF6264 family protein
WP_046543941.1	12	hypothetical protein
WP_034129309.1	12	helix-turn-helix domain-containing protein
WP_000380468.1	12	carbon starvation CstA family protein
WP_142448067.1	12	WYL domain-containing protein
WP_142448070.1	12	hypothetical protein
WP_048822776.1	12	reverse transcriptase family protein
WP_179141210.1	12	TA system toxin CbtA family protein
WP_015386412.1	12	type IV toxin-antitoxin system YeeU family antitoxin
WP_015386414.1	12	DNA repair protein RadC
WP_071813833.1	12	hypothetical protein
WP_240389531.1	12	type II toxin-antitoxin system HipA family toxin
WP_109223984.1	12	hypothetical protein
WP_109223985.1	12	N-6 DNA methylase
WP_031983184.1	11	methyltransferase
WP_031983190.1	11	DUF4365 domain-containing protein
WP_228287309.1	11	hypothetical protein
WP_032056934.1	11	ImmA/IrrE family metallo-endopeptidase
WP_022011571.1	11	hypothetical protein
WP_217316081.1	11	hypothetical protein
WP_000748518.1	11	hypothetical protein
WP_107759087.1	11	hypothetical protein
WP_004152292.1	11	incFII family plasmid replication initiator RepA
WP_045616267.1	11	AAA family ATPase
WP_062729621.1	11	UvrD-helicase domain-containing protein
WP_060496451.1	11	replicative DNA helicase
WP_023036848.1	11	50S ribosomal protein L9
WP_060496452.1	11	hypothetical protein
WP_000432951.1	11	hypothetical protein
WP_323744436.1	11	metallophosphoesterase
WP_062842771.1	11	reverse transcriptase family protein
WP_117706974.1	11	hypothetical protein
WP_117706972.1	11	molybdenum ABC transporter ATP-binding protein
WP_095427764.1	11	reverse transcriptase family protein
WP_117706977.1	11	hypothetical protein
WP_032425175.1	11	phospholipase D-like domain-containing protein
WP_059349516.1	11	hypothetical protein
WP_017702485.1	11	DUF4427 domain-containing protein
WP_229614315.1	11	pentapeptide repeat-containing protein
WP_017702487.1	11	hypothetical protein
WP_221960834.1	11	hypothetical protein
WP_241174700.1	11	arsenite efflux transporter metallochaperone ArsD
WP_241174695.1	11	AAA family ATPase
WP_241174696.1	11	ATP-dependent helicase
WP_241174697.1	11	integrase arm-type DNA-binding domain-containing protein
WP_060555835.1	11	helix-turn-helix transcriptional regulator
WP_074027181.1	11	anaerobic ribonucleoside-triphosphate reductase
WP_333506806.1	11	reverse transcriptase family protein
WP_210172026.1	11	hypothetical protein
WP_097409753.1	11	adenylate/guanylate cyclase
WP_017400770.1	11	hypothetical protein
WP_017400772.1	11	hypothetical protein
WP_017400773.1	11	hypothetical protein
WP_017400774.1	11	hypothetical protein
WP_005023461.1	11	HEPN domain-containing protein
WP_005023463.1	11	MFS transporter
WP_049792475.1	11	antitoxin Xre/MbcA/ParS toxin-binding domain-containing protein
WP_273253145.1	11	BPSL0761 family protein
WP_000019081.1	11	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
WP_061377472.1	11	ImmA/IrrE family metallo-endopeptidase
WP_061377473.1	11	reverse transcriptase family protein
WP_374941937.1	11	IS3 family transposase
WP_170833297.1	11	hypothetical protein
WP_038982932.1	11	UvrD-helicase domain-containing protein
WP_038982930.1	11	ATP-dependent nuclease
WP_197832533.1	11	N-6 DNA methylase
WP_197832534.1	11	hypothetical protein
WP_197832535.1	11	hypothetical protein
WP_016927040.1	11	branched-chain amino acid ABC transporter substrate-binding protein
WP_049412215.1	11	hypothetical protein
WP_241876730.1	11	HNH endonuclease
WP_262095003.1	11	integrase core domain-containing protein
WP_241876733.1	11	hypothetical protein
WP_241876736.1	11	hypothetical protein
WP_241876738.1	11	phosphoribosyltransferase-like protein
WP_241876739.1	11	DNA adenine methylase
WP_192188531.1	11	hypothetical protein
WP_253593493.1	11	alpha/beta fold hydrolase
WP_253593495.1	11	ROK family protein
WP_053142598.1	11	hypothetical protein
WP_128740884.1	11	reverse transcriptase family protein
WP_128740886.1	11	hypothetical protein
WP_114724849.1	11	hypothetical protein
WP_114724848.1	11	DNA methyltransferase
WP_001026274.1	11	co-chaperone GroES
WP_000859359.1	11	metalloregulator ArsR/SmtB family transcription factor
WP_000188676.1	11	DUF3135 domain-containing protein
WP_080624741.1	11	reverse transcriptase family protein
WP_051371565.1	11	tyrosine-type recombinase/integrase
WP_152536311.1	11	hypothetical protein
WP_027033472.1	11	hypothetical protein
WP_027033471.1	11	phosphoribosyltransferase-like protein
WP_157279971.1	11	helix-turn-helix domain-containing protein
WP_032925939.1	11	NADAR family protein
WP_080680529.1	11	carbohydrate kinase family protein
WP_027033468.1	11	hypothetical protein
WP_224713086.1	11	hypothetical protein
WP_155024529.1	11	hypothetical protein
WP_258876547.1	11	phosphoribosyltransferase-like protein
WP_227043867.1	11	magnesium transporter
WP_227043863.1	11	hypothetical protein
WP_084212304.1	11	DUF2256 domain-containing protein
WP_006874592.1	10	MATE family efflux transporter
WP_031983182.1	10	glutamine--fructose-6-phosphate transaminase (isomerizing)
WP_032048042.1	10	hypothetical protein
WP_064349662.1	10	phospholipase D family protein
WP_064349660.1	10	replication regulatory protein RepA
WP_077266322.1	10	RepA leader peptide Tap
WP_064349658.1	10	incFII family plasmid replication initiator RepA
WP_077038497.1	10	hypothetical protein
WP_010257690.1	10	RnfH family protein
WP_010257692.1	10	type II toxin-antitoxin system RatA family toxin
WP_023332837.1	10	phosphoethanolamine--lipid A transferase MCR-10.1
WP_023332838.1	10	tyrosine-type recombinase/integrase
WP_062729626.1	10	integrase
WP_143403808.1	10	hypothetical protein
WP_128677680.1	10	DUF4917 family protein
WP_000105964.1	10	hypothetical protein
WP_003113893.1	10	MFS transporter
WP_048292124.1	10	hypothetical protein
WP_135718556.1	10	hypothetical protein
WP_048292123.1	10	hypothetical protein
WP_000813008.1	10	hypothetical protein
WP_117706978.1	10	hypothetical protein
WP_004352675.1	10	hypothetical protein
WP_306440256.1	10	GGDEF domain-containing protein
WP_123116691.1	10	reverse transcriptase family protein
WP_131706091.1	10	hypothetical protein
WP_131706095.1	10	hypothetical protein
WP_020904096.1	10	hypothetical protein
WP_001792141.1	10	Mu transposase domain-containing protein
WP_079758768.1	10	HAD domain-containing protein
WP_223929570.1	10	hypothetical protein
WP_223929569.1	10	hypothetical protein
WP_223929566.1	10	HAD hydrolase family protein
WP_223929565.1	10	hypothetical protein
WP_223929564.1	10	hypothetical protein
WP_223929563.1	10	hypothetical protein
WP_223929561.1	10	hypothetical protein
WP_223929560.1	10	hypothetical protein
WP_017702488.1	10	3'-5' exonuclease
WP_001069952.1	10	AraC family transcriptional regulator
WP_131806533.1	10	hypothetical protein
WP_131806534.1	10	hypothetical protein
WP_074248622.1	10	hypothetical protein
WP_131806535.1	10	hypothetical protein
WP_074248623.1	10	DUF4153 domain-containing protein
WP_005093199.1	10	HAMP domain-containing sensor histidine kinase
WP_005067275.1	10	metallopeptidase TldD-related protein
WP_005060467.1	10	TldD/PmbA family protein
WP_210172027.1	10	MBL fold metallo-hydrolase
WP_017400769.1	10	relaxase/mobilization nuclease domain-containing protein
WP_005023465.1	10	DMT family transporter
WP_005016254.1	10	proton-translocating transhydrogenase family protein
WP_062729620.1	10	hypothetical protein
WP_045616272.1	10	integrase
WP_109242568.1	10	hypothetical protein
WP_062865904.1	10	hypothetical protein
WP_062865899.1	10	N-6 DNA methylase
WP_012967042.1	10	MurR/RpiR family transcriptional regulator
WP_031633222.1	10	hypothetical protein
WP_003123050.1	10	DUF2845 domain-containing protein
WP_197832531.1	10	hypothetical protein
WP_012478970.1	10	pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type
WP_088435697.1	10	PadR family transcriptional regulator
WP_241876740.1	10	siderophore-interacting protein
WP_154902329.1	10	phosphoribosyltransferase-like protein
WP_004329748.1	10	helix-turn-helix domain-containing protein
WP_022460319.1	10	tryptophanase
WP_003105511.1	10	efflux RND transporter periplasmic adaptor subunit
WP_119062789.1	10	TIR domain-containing protein
WP_126242931.1	10	NADAR family protein
WP_126242932.1	10	HAD family hydrolase
WP_126242933.1	10	hypothetical protein
WP_126242934.1	10	hypothetical protein
WP_126242935.1	10	hypothetical protein
WP_174956901.1	10	hypothetical protein
WP_063553337.1	10	hypothetical protein
WP_205672902.1	10	type II toxin-antitoxin system VapC family toxin
WP_321891115.1	10	hypothetical protein
WP_321891113.1	10	hypothetical protein
WP_321891111.1	10	hypothetical protein
WP_321891109.1	10	N-6 DNA methylase
WP_321891107.1	10	hypothetical protein
WP_321891105.1	10	hypothetical protein
WP_032934228.1	10	hypothetical protein
WP_025652141.1	10	bile acid:sodium symporter family protein
WP_084212305.1	10	DUF2256 domain-containing protein
WP_025652137.1	10	hypothetical protein
WP_025652139.1	10	hypothetical protein
WP_025652140.1	10	hypothetical protein
WP_121202198.1	10	IS3 family transposase
WP_003721315.1	10	6-phospho-beta-glucosidase
WP_305802986.1	9	hypothetical protein
WP_371864264.1	9	helix-turn-helix domain-containing protein
WP_231360931.1	9	toprim domain-containing protein
WP_044350585.1	9	WYL domain-containing protein
WP_157838701.1	9	hypothetical protein
WP_004199332.1	9	replication regulatory protein RepA
WP_180354942.1	9	hypothetical protein
WP_000611587.1	9	hypothetical protein
WP_148355478.1	9	hypothetical protein
WP_048292126.1	9	hypothetical protein
WP_048292122.1	9	ArdC family protein
WP_048292121.1	9	MobC family replication-relaxation protein
WP_048292120.1	9	type IV secretory system conjugative DNA transfer family protein
WP_072072204.1	9	dpoa decarboxylase
WP_048292119.1	9	TrbM/KikA/MpfK family conjugal transfer protein
WP_080346676.1	9	reverse transcriptase family protein
WP_029171409.1	9	hypothetical protein
WP_123082794.1	9	spherulation-specific family 4 protein
WP_101613895.1	9	YybH family protein
WP_148248297.1	9	hypothetical protein
WP_148248295.1	9	hypothetical protein
WP_126534041.1	9	hypothetical protein
WP_077144417.1	9	hypothetical protein
WP_077144416.1	9	reverse transcriptase family protein
WP_126534043.1	9	hypothetical protein
WP_126534045.1	9	hypothetical protein
WP_003113527.1	9	HigA family addiction module antitoxin
WP_003117425.1	9	type II toxin-antitoxin system RelE/ParE family toxin
WP_003095021.1	9	carbonate dehydratase
WP_144218288.1	9	hypothetical protein
WP_037798657.1	9	NAD(P)-dependent oxidoreductase
WP_025887263.1	9	patatin-like phospholipase family protein
WP_003103747.1	9	MFS transporter
WP_134257479.1	9	phosphoadenosine phosphosulfate reductase family protein
WP_134257480.1	9	hypothetical protein
WP_028015006.1	9	AsmA family protein
WP_223929562.1	9	PfkB family carbohydrate kinase
WP_229895199.1	9	endo alpha-1%2C4 polygalactosaminidase
WP_326151847.1	9	hypothetical protein
WP_326151846.1	9	reverse transcriptase family protein
WP_326151845.1	9	hypothetical protein
WP_305800927.1	9	hypothetical protein
WP_036415616.1	9	Qat anti-phage system TatD family nuclease QatD
WP_041850289.1	9	hypothetical protein
WP_249842107.1	9	hypothetical protein
WP_249842105.1	9	siderophore-interacting protein
WP_249842104.1	9	PadR family transcriptional regulator
WP_249842100.1	9	reverse transcriptase family protein
WP_249842099.1	9	HNH endonuclease signature motif containing protein
WP_249842097.1	9	hypothetical protein
WP_152952556.1	9	hypothetical protein
WP_053288252.1	9	hypothetical protein
WP_160873643.1	9	relaxase/mobilization nuclease domain-containing protein
WP_005023468.1	9	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha
WP_008346813.1	9	YuzB family protein
WP_017358921.1	9	iron-sulfur cluster insertion protein ErpA
WP_035196185.1	9	hypothetical protein
WP_035196186.1	9	hypothetical protein
WP_035196192.1	9	AIPR family protein
WP_086274653.1	9	hypothetical protein
WP_041769455.1	9	BPSL0761 family protein
WP_061239408.1	9	site-specific integrase
WP_080478440.1	9	lipase
WP_045616268.1	9	UvrD-helicase domain-containing protein
WP_112067093.1	9	reverse transcriptase family protein
WP_021630374.1	9	hypothetical protein
WP_062865897.1	9	helix-turn-helix domain-containing protein
WP_001989555.1	9	hypothetical protein
WP_052250612.1	9	arsenite efflux transporter metallochaperone ArsD
WP_024564629.1	9	co-chaperone GroES
WP_073772810.1	9	aspartate 1-decarboxylase
WP_071845382.1	9	His-Xaa-Ser repeat protein HxsA
WP_048225456.1	9	TA system toxin CbtA family protein
WP_244212822.1	9	hypothetical protein
WP_016391654.1	9	hypothetical protein
WP_016391653.1	9	restriction endonuclease
WP_034129305.1	9	hypothetical protein
WP_000666417.1	9	phosphoribosyltransferase-like protein
WP_001103247.1	9	reverse transcriptase family protein
WP_000348081.1	9	helix-turn-helix transcriptional regulator
WP_002065169.1	9	NINE protein
WP_001255656.1	9	hypothetical protein
WP_369098560.1	9	hypothetical protein
WP_369098561.1	9	hypothetical protein
WP_134257475.1	9	DUF7146 domain-containing protein
WP_001039513.1	9	hypothetical protein
WP_114724871.1	9	hypothetical protein
WP_225489093.1	9	TetR/AcrR family transcriptional regulator
