Most Frequent Protein ID	Frequency	Description
WP_011166849.1	33	phosphoglycerate kinase
WP_036428030.1	33	class II fructose-bisphosphate aldolase
WP_049453016.1	33	siderophore-interacting protein
WP_016265244.1	33	hypothetical protein
WP_060460788.1	33	hypothetical protein
WP_021559844.1	33	hypothetical protein
WP_070778617.1	33	hypothetical protein
WP_061057321.1	33	hypothetical protein
WP_061057323.1	33	hypothetical protein
WP_061057324.1	33	hypothetical protein
WP_075861615.1	33	hypothetical protein
Unknown	32	ISNCY family transposase
WP_270197825.1	32	Panacea domain-containing protein
WP_055174956.1	32	YafY family protein
WP_035714921.1	32	type IV secretory system conjugative DNA transfer family protein
WP_181828664.1	32	ornithine cyclodeaminase family protein
WP_014620136.1	32	DUF2075 domain-containing protein
WP_121588817.1	32	DUF4209 domain-containing protein
WP_009901827.1	32	YdcP family protein
WP_001248691.1	32	23S rRNA pseudouridine(2457) synthase RluE
WP_049453019.1	32	pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type
WP_180814337.1	32	hypothetical protein
WP_069067312.1	32	hypothetical protein
WP_048995870.1	32	hypothetical protein
WP_023113610.1	32	hypothetical protein
WP_048995873.1	32	hypothetical protein
WP_193860394.1	31	cytochrome b
WP_311169442.1	31	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
Unknown	31	transposase family protein
WP_117981198.1	31	toprim domain-containing protein
WP_012419693.1	31	GDSL-type esterase/lipase family protein
WP_058161428.1	31	lysogeny maintenance protein PflM
WP_041202971.1	31	potassium transporter Kup
WP_000203268.1	31	colicin B immunity protein
WP_250237512.1	31	carbohydrate binding domain-containing protein
WP_220469962.1	31	hypothetical protein
Unknown	30	IS630 family transposase
WP_086308237.1	30	pyridoxal kinase PdxY
Unknown	30	STY0301 family protein
WP_184284898.1	30	CPBP family intramembrane glutamic endopeptidase
WP_161801834.1	30	AIPR family protein
WP_000076168.1	30	TVP38/TMEM64 family protein
WP_105162318.1	30	aldehyde dehydrogenase (NADP(+))
WP_367301417.1	30	leucine-rich repeat domain-containing protein
WP_332560850.1	30	RusA family crossover junction endodeoxyribonuclease
WP_020332815.1	30	type I-F CRISPR-associated protein Csy2
Unknown	30	Arc family DNA-binding protein
WP_011166852.1	30	DnaD domain protein
WP_049149787.1	30	flippase
WP_004141101.1	30	non-heme ferritin
WP_141843110.1	30	adenine phosphoribosyltransferase
WP_001429486.1	30	hypothetical protein
WP_048293481.1	30	hypothetical protein
WP_278859488.1	30	hypothetical protein
WP_003773349.1	30	hypothetical protein
WP_032747199.1	30	hypothetical protein
WP_003729458.1	29	DUF1294 domain-containing protein
WP_002262981.1	29	methionine adenosyltransferase
Unknown	29	SulP family inorganic anion transporter
WP_180778053.1	29	OsmC family protein
Unknown	29	type ISP restriction/modification enzyme
WP_117822179.1	29	MATE family efflux transporter
WP_005972245.1	29	GlsB/YeaQ/YmgE family stress response membrane protein
WP_068970494.1	29	acyl-CoA dehydrogenase family protein
WP_244901207.1	29	plasmid mobilization relaxosome protein MobC
WP_032488906.1	29	minor fimbrial subunit
Unknown	29	MobA/MobL family protein
WP_265217873.1	29	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
WP_350745857.1	29	peptide MFS transporter
WP_002262811.1	29	hypothetical protein
WP_001302628.1	29	hypothetical protein
WP_203328825.1	29	hypothetical protein
WP_009040026.1	29	hypothetical protein
WP_256543286.1	28	NAD(P)-dependent oxidoreductase
WP_133960014.1	28	DUF4411 family protein
WP_348287054.1	28	aminotransferase class V-fold PLP-dependent enzyme
WP_003857696.1	28	M23 family metallopeptidase
WP_110287041.1	28	EamA family transporter
WP_049010637.1	28	transcriptional repressor PifC
WP_000762578.1	28	colicin E1 family microcin immunity protein
WP_069023754.1	28	phosphate ABC transporter substrate-binding protein PstS
WP_181828665.1	28	DSD1 family PLP-dependent enzyme
WP_181828663.1	28	threo-3-hydroxy-L-aspartate ammonia-lyase
WP_281193092.1	28	bacteriocin-associated integral membrane family protein
WP_131910620.1	28	conjugal transfer protein TraD
WP_286039190.1	28	PFL_4703 family integrating conjugative element protein
WP_164455094.1	28	hypothetical protein
WP_164455090.1	28	hypothetical protein
WP_009040029.1	28	hypothetical protein
WP_005677524.1	28	hypothetical protein
WP_000910583.1	28	hypothetical protein
WP_024312485.1	27	RHE_PE00001 family protein
Unknown	27	IS4 family transposase
WP_096071708.1	27	alpha-galactosidase
Unknown	27	amidohydrolase
WP_049453032.1	27	type II restriction endonuclease
WP_022651753.1	27	SymE family type I addiction module toxin
WP_072123334.1	27	EAL domain-containing protein
WP_002262980.1	27	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
WP_237973444.1	27	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH
WP_086631267.1	27	type 1 glutamine amidotransferase
WP_049191120.1	27	TonB-dependent receptor domain-containing protein
WP_032851355.1	27	hypothetical protein
WP_009040024.1	27	hypothetical protein
WP_023435641.1	27	hypothetical protein
WP_136498812.1	27	hypothetical protein
WP_007748222.1	27	hypothetical protein
WP_004609092.1	26	cold-shock protein
WP_051266715.1	26	MobF family relaxase
WP_111778804.1	26	host cell division inhibitor Icd-like protein
WP_075555429.1	26	nicotinate phosphoribosyltransferase
WP_253114908.1	26	ACR3 family arsenite efflux transporter
WP_272017750.1	26	AbiH family protein
WP_049149789.1	26	UDP-galactopyranose mutase
WP_016978032.1	26	phosphate ABC transporter permease subunit PstC
WP_005495317.1	26	outer membrane protein
WP_033738196.1	26	MbcA/ParS/Xre antitoxin family protein
WP_229271086.1	26	tyrosine-protein phosphatase
WP_162465396.1	26	IS1634-like element IS1634 family transposase
WP_078722896.1	26	nucleotide pyrophosphohydrolase
WP_004240320.1	26	Ref family recombination enhancement nuclease
WP_162610412.1	26	trimeric intracellular cation channel family protein
WP_024075599.1	26	zinc-dependent alcohol dehydrogenase family protein
WP_023435438.1	26	group II intron reverse transcriptase/maturase
WP_016156413.1	26	tryptophan--tRNA ligase
WP_012968158.1	26	allantoinase PuuE
WP_060419121.1	26	LPS export ABC transporter permease LptG
WP_024381731.1	26	ATP-dependent Clp protease ATP-binding subunit
WP_181880233.1	26	RHS repeat domain-containing protein
WP_062810466.1	26	hypothetical protein
WP_004199962.1	26	hypothetical protein
WP_057097642.1	26	hypothetical protein
WP_349081811.1	26	hypothetical protein
WP_103243220.1	25	HEAT repeat domain-containing protein
Unknown	25	IS1182 family transposase
WP_008537606.1	25	biotin transporter BioY
WP_323169439.1	25	ParB/RepB/Spo0J family partition protein
WP_000164310.1	25	fructokinase ScrK
Unknown	25	RNA-binding domain-containing protein
WP_119369879.1	25	metallophosphoesterase family protein
WP_000391950.1	25	YdaS family helix-turn-helix protein
WP_261641058.1	25	ArdC family protein
WP_076174600.1	25	zinc ribbon domain-containing protein
WP_311169143.1	25	excinuclease ABC subunit UvrC
WP_053256028.1	25	RES domain-containing protein
WP_001394126.1	25	LexA family protein
WP_012419701.1	25	division/cell wall cluster transcriptional repressor MraZ
WP_012419698.1	25	IdeS/Mac family cysteine endopeptidase
WP_001297479.1	25	high frequency lysogenization protein HflD
WP_065425970.1	25	phospholipase
WP_004890170.1	25	hemin-degrading factor
WP_105162314.1	25	polyphosphate kinase 2
WP_064362929.1	25	hypothetical protein
WP_020332823.1	25	hypothetical protein
WP_020332820.1	25	hypothetical protein
WP_005495314.1	25	hypothetical protein
WP_157263246.1	25	hypothetical protein
WP_010633780.1	25	hypothetical protein
WP_019269577.1	25	hypothetical protein
WP_023370165.1	25	hypothetical protein
WP_029189982.1	25	hypothetical protein
WP_350745861.1	25	hypothetical protein
WP_014917208.1	25	hypothetical protein
WP_000055675.1	24	phage integrase central domain-containing protein
WP_032353631.1	24	acyltransferase
WP_016265242.1	24	dihydroneopterin aldolase
WP_247953275.1	24	TIGR02328 family protein
Unknown	24	DUF4158 domain-containing protein
WP_191902004.1	24	23S rRNA (adenine(1618)-N(6))-methyltransferase RlmF
WP_046997510.1	24	cation:proton antiporter
WP_022649174.1	24	nitrous oxide-stimulated promoter family protein
Unknown	24	branched-chain amino acid transport system II carrier protein
WP_089150623.1	24	ATP/GTP-binding protein
WP_096121183.1	24	DUF5677 domain-containing protein
WP_308072472.1	24	DUF4268 domain-containing protein
WP_326183232.1	24	thioesterase family protein
WP_000704533.1	24	UilS family quorum-quenching N-acyl-homoserine lactonase
Unknown	24	arsenical resistance protein ArsH
WP_009901829.1	24	FtsK/SpoIIIE domain-containing protein
WP_076741048.1	24	hypothetical protein
WP_164455102.1	24	hypothetical protein
WP_230577334.1	24	hypothetical protein
WP_171024971.1	24	hypothetical protein
WP_032532926.1	24	hypothetical protein
WP_001505100.1	24	hypothetical protein
WP_024375732.1	24	hypothetical protein
WP_227549693.1	24	hypothetical protein
WP_367719296.1	24	hypothetical protein
WP_001357426.1	24	hypothetical protein
WP_101862228.1	24	hypothetical protein
Unknown	23	GTP cyclohydrolase I FolE
WP_087258348.1	23	HD domain-containing protein
WP_122422090.1	23	aromatic alcohol reductase
WP_002289115.1	23	YajQ family cyclic di-GMP-binding protein
WP_051506515.1	23	sugar transferase
WP_033977578.1	23	LLM class flavin-dependent oxidoreductase
WP_001113489.1	23	haloacid dehalogenase-like hydrolase
WP_015571056.1	23	DHA2 family efflux MFS transporter permease subunit
WP_004313009.1	23	SRPBCC family protein
WP_029486858.1	23	dihydroorotate oxidase
WP_007938438.1	23	HNH endonuclease signature motif containing protein
WP_032412427.1	23	S66 family peptidase
WP_193417575.1	23	dihydrofolate reductase family protein
WP_002371485.1	23	lipoprotein
WP_081407111.1	23	preprotein translocase subunit YajC
Unknown	23	translesion error-prone DNA polymerase V subunit UmuC
WP_049453027.1	23	Z1 domain-containing protein
WP_122408261.1	23	hypothetical protein
WP_011166846.1	23	hypothetical protein
WP_257787628.1	23	hypothetical protein
WP_101139195.1	23	hypothetical protein
WP_162863748.1	23	hypothetical protein
WP_122437535.1	23	hypothetical protein
WP_141687475.1	22	NACHT domain-containing NTPase
WP_112234043.1	22	IS3-like element IS1163 family transposase
WP_063618450.1	22	Shedu anti-phage system protein SduA domain-containing protein
WP_004607993.1	22	type I restriction-modification system subunit M N-terminal domain-containing protein
Unknown	22	IS91 family transposase
WP_407858433.1	22	DNA alkylation repair protein
WP_060615121.1	22	Cro/CI family transcriptional regulator
WP_317115719.1	22	TlpA disulfide reductase family protein
WP_025612424.1	22	DUF4917 family protein
WP_110455264.1	22	RNA repair transcriptional activator RtcR
Unknown	22	IS3-like element IS1296 family transposase
WP_061057317.1	22	phage terminase large subunit family protein
WP_126525152.1	22	efflux transporter outer membrane subunit
WP_077708860.1	22	SpaA isopeptide-forming pilin-related protein
WP_009889834.1	22	4Fe-4S binding protein
WP_003729455.1	22	amino acid ABC transporter substrate-binding protein/permease
WP_061057318.1	22	phage portal protein
WP_000476093.1	22	phosphatase NudJ
WP_005337011.1	22	hypothetical protein
WP_122422091.1	22	hypothetical protein
WP_105088876.1	22	hypothetical protein
WP_080788621.1	22	hypothetical protein
WP_007697902.1	22	hypothetical protein
WP_171030127.1	22	hypothetical protein
WP_003117251.1	22	hypothetical protein
WP_239793744.1	22	hypothetical protein
WP_239793743.1	22	hypothetical protein
WP_240338862.1	22	hypothetical protein
WP_122437537.1	22	hypothetical protein
WP_350745873.1	22	hypothetical protein
WP_111778801.1	21	CopG family ribbon-helix-helix protein
WP_021124391.1	21	PH domain-containing protein
WP_062894304.1	21	pentapeptide repeat-containing protein
Unknown	21	ATP-dependent helicase
WP_012668899.1	21	tRNA uracil 4-sulfurtransferase ThiI
WP_118494931.1	21	HNH endonuclease domain-containing protein
Unknown	21	DUF1173 family protein
WP_252703955.1	21	DUF6933 domain-containing protein
WP_273172844.1	21	NAD(P)H-binding protein
WP_122285564.1	21	Mu transposase C-terminal domain-containing protein
WP_034105082.1	21	phosphate ABC transporter permease PstA
WP_051506516.1	21	YdcF family protein
WP_025331768.1	21	permease
WP_181828659.1	21	2OG-Fe(II) oxygenase
WP_165133264.1	21	S8 family serine peptidase
WP_102738600.1	21	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
WP_204809969.1	21	NUDIX domain-containing protein
WP_269485198.1	21	TolC family protein
WP_311169145.1	21	calcium-transporting ATPase
WP_161801835.1	21	PD-(D/E)XK motif protein
WP_011154650.1	21	IS66-like element ISVa5 family transposase
WP_024381734.1	21	ion transporter
WP_011166848.1	21	hypothetical protein
WP_001308042.1	21	hypothetical protein
WP_024402395.1	21	hypothetical protein
WP_013855680.1	21	hypothetical protein
WP_053546747.1	20	50S ribosomal protein L9
Unknown	20	IS481 family transposase
WP_039039033.1	20	DUF6616 family protein
WP_022651752.1	20	MDR family MFS transporter
WP_352521972.1	20	CopG family transcriptional regulator
WP_075849144.1	20	FAD/NAD(P)-binding protein
Unknown	20	helicase
WP_003114920.1	20	DUF4354 family protein
Unknown	20	fimbria/pilus outer membrane usher protein
WP_015542796.1	20	phage integrase SAM-like domain-containing protein
WP_337198324.1	20	preprotein translocase subunit SecA
WP_181415451.1	20	gamma-glutamyltransferase
WP_238476134.1	20	conjugal transfer protein TraE
WP_131661644.1	20	Crp/Fnr family transcriptional regulator
WP_060579747.1	20	AsmA family protein
WP_032435685.1	20	IS30-like element ISCfr4 family transposase
WP_024075596.1	20	phosphoglucomutase (alpha-D-glucose-1%2C6-bisphosphate-dependent)
WP_071787975.1	20	NlpC/P60 family protein
WP_000948454.1	20	DNA-binding transcriptional repressor RacR
WP_023087971.1	20	hypothetical protein
WP_052158592.1	20	hypothetical protein
WP_228023574.1	20	hypothetical protein
WP_021230577.1	20	hypothetical protein
WP_161646454.1	20	hypothetical protein
WP_001559860.1	20	hypothetical protein
WP_005646261.1	20	hypothetical protein
WP_001505097.1	20	hypothetical protein
WP_215486952.1	19	TnsA-like heteromeric transposase endonuclease subunit
WP_165708088.1	19	TOPRIM and DUF927 domain-containing protein
WP_368743806.1	19	oxidoreductase
WP_000203924.1	19	cold shock domain-containing protein
WP_004384052.1	19	nucleotidyl transferase AbiEii/AbiGii toxin family protein
WP_226156943.1	19	autotransporter outer membrane beta-barrel domain-containing protein
WP_086301457.1	19	PD-(D/E)XK nuclease family protein
WP_253114913.1	19	low molecular weight phosphatase family protein
WP_016166040.1	19	TnsA endonuclease N-terminal domain-containing protein
WP_014951213.1	19	cation diffusion facilitator family transporter
WP_323169433.1	19	glutathione S-transferase family protein
WP_232307379.1	19	RteC domain-containing protein
WP_221125505.1	19	GGDEF domain-containing protein
WP_060579746.1	19	alpha-xylosidase
WP_011387486.1	19	BspA family leucine-rich repeat surface protein
WP_031966870.1	19	PhzF family isomerase
WP_133517491.1	19	methyltransferase domain-containing protein
WP_074405024.1	19	thioredoxin fold domain-containing protein
WP_023313578.1	19	hemin ABC transporter substrate-binding protein
WP_023702784.1	19	(2Fe-2S)-binding protein
WP_036927922.1	19	YdeI family protein
WP_015532700.1	19	hypothetical protein
WP_004152337.1	19	hypothetical protein
WP_228709039.1	19	hypothetical protein
WP_113849752.1	19	hypothetical protein
WP_001554354.1	19	hypothetical protein
WP_021559846.1	19	hypothetical protein
WP_060579742.1	19	hypothetical protein
WP_416991924.1	19	hypothetical protein
WP_416991925.1	19	hypothetical protein
WP_060619500.1	19	hypothetical protein
